,time,BTC,KXBTCD-24DEC2012-T88249.99,KXBTCD-24DEC2012-T88499.99,KXBTCD-24DEC2012-T88749.99,KXBTCD-24DEC2012-T88999.99,KXBTCD-24DEC2012-T89249.99,KXBTCD-24DEC2012-T89499.99,KXBTCD-24DEC2012-T89749.99,KXBTCD-24DEC2012-T89999.99,KXBTCD-24DEC2012-T90249.99,KXBTCD-24DEC2012-T90499.99,KXBTCD-24DEC2012-T90749.99,KXBTCD-24DEC2012-T90999.99,KXBTCD-24DEC2012-T91249.99,KXBTCD-24DEC2012-T91499.99,KXBTCD-24DEC2012-T91749.99,KXBTCD-24DEC2012-T91999.99,KXBTCD-24DEC2012-T92249.99,KXBTCD-24DEC2012-T92499.99,KXBTCD-24DEC2012-T92749.99,KXBTCD-24DEC2012-T92999.99,KXBTCD-24DEC2012-T93249.99,KXBTCD-24DEC2012-T93499.99,KXBTCD-24DEC2012-T93749.99,KXBTCD-24DEC2012-T93999.99,KXBTCD-24DEC2012-T94249.99,KXBTCD-24DEC2012-T94499.99,KXBTCD-24DEC2012-T94749.99,KXBTCD-24DEC2012-T94999.99,KXBTCD-24DEC2012-T95249.99,KXBTCD-24DEC2012-T95499.99,KXBTCD-24DEC2012-T95749.99,KXBTCD-24DEC2012-T95999.99,KXBTCD-24DEC2012-T96249.99,KXBTCD-24DEC2012-T96499.99,KXBTCD-24DEC2012-T96749.99,KXBTCD-24DEC2012-T96999.99,KXBTCD-24DEC2012-T97249.99,KXBTCD-24DEC2012-T97499.99,KXBTCD-24DEC2012-T97749.99,KXBTCD-24DEC2012-T97999.99,KXBTCD-24DEC2012-T98249.99,KXBTCD-24DEC2012-T98499.99,KXBTCD-24DEC2012-T98749.99,KXBTCD-24DEC2012-T98999.99,KXBTCD-24DEC2012-T99249.99,KXBTCD-24DEC2012-T99499.99,KXBTCD-24DEC2012-T99749.99,KXBTCD-24DEC2012-T99999.99,KXBTCD-24DEC2012-T100249.99,KXBTCD-24DEC2012-T100499.99
0,2024-12-20 11:01:00.898185,96806.5,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,92.0,91.0,90.0,87.0,84.0,81.0,77.0,72.0,66.0,58.0,51.0,43.0,34.0,27.0,20.0,15.0,10.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
1,2024-12-20 11:02:00.550024,96865.17,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,92.0,91.0,90.0,87.0,84.0,81.0,76.0,72.0,66.0,59.0,51.0,44.0,34.0,27.0,20.0,15.0,11.0,8.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
2,2024-12-20 11:03:00.613625,97082.07,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,92.0,91.0,90.0,88.0,84.0,81.0,77.0,72.0,66.0,59.0,51.0,42.0,34.0,26.0,20.0,14.0,10.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
3,2024-12-20 11:04:00.685115,97123.06,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,92.0,90.0,88.0,86.0,82.0,78.0,73.0,67.0,60.0,52.0,46.0,35.0,27.0,21.0,15.0,11.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
4,2024-12-20 11:05:00.879075,97216.19,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0,92.0,89.0,86.0,83.0,80.0,75.0,70.0,63.0,56.0,47.0,38.0,31.0,26.0,18.0,13.0,9.0,6.0,4.0,3.0,1.0,1.0,1.0,1.0
5,2024-12-20 11:06:00.915769,97339.42,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,92.0,91.0,90.0,88.0,86.0,82.0,78.0,75.0,67.0,59.0,51.0,46.0,33.0,26.0,19.0,14.0,10.0,6.0,4.0,3.0,2.0,1.0,1.0,1.0
6,2024-12-20 11:07:00.020133,97312.69,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,93.0,92.0,90.0,86.0,83.0,79.0,76.0,67.0,60.0,50.0,41.0,33.0,25.0,18.0,13.0,9.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0
7,2024-12-20 11:08:00.134284,97278.94,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,93.0,91.0,90.0,87.0,83.0,79.0,76.0,67.0,59.0,49.0,40.0,32.0,24.0,17.0,12.0,8.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
8,2024-12-20 11:09:00.110112,97295.31,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0,91.0,90.0,87.0,83.0,78.0,76.0,70.0,59.0,49.0,41.0,32.0,24.0,17.0,12.0,8.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
9,2024-12-20 11:10:00.421329,97135.6,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,91.0,89.0,86.0,82.0,77.0,75.0,69.0,54.0,46.0,36.0,27.0,20.0,14.0,9.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
10,2024-12-20 11:11:00.596937,97194.56,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,91.0,89.0,86.0,83.0,77.0,72.0,65.0,55.0,46.0,33.0,28.0,20.0,14.0,10.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
11,2024-12-20 11:12:00.877166,97151.88,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0,91.0,89.0,88.0,83.0,79.0,70.0,63.0,54.0,46.0,32.0,26.0,19.0,13.0,9.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
12,2024-12-20 11:13:00.978591,97376.37,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,91.0,89.0,85.0,82.0,77.0,71.0,62.0,53.0,44.0,34.0,26.0,18.0,13.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0
13,2024-12-20 11:14:00.066031,97457.9,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,90.0,87.0,83.0,78.0,72.0,65.0,57.0,47.0,37.0,28.0,20.0,14.0,9.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0
14,2024-12-20 11:15:00.098451,97436.26,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,90.0,87.0,83.0,78.0,73.0,65.0,56.0,46.0,36.0,27.0,19.0,13.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
15,2024-12-20 11:16:00.328192,97343.56,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0,92.0,89.0,85.0,81.0,76.0,70.0,62.0,52.0,42.0,33.0,24.0,16.0,11.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0
16,2024-12-20 11:17:00.860648,97476.92,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,91.0,88.0,84.0,79.0,74.0,66.0,57.0,47.0,37.0,27.0,19.0,13.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
17,2024-12-20 11:18:00.226012,97547.81,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,91.0,89.0,85.0,82.0,76.0,69.0,60.0,50.0,41.0,30.0,21.0,14.0,6.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0
18,2024-12-20 11:19:00.328634,97452.03,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0,91.0,89.0,85.0,80.0,74.0,67.0,56.0,46.0,36.0,27.0,19.0,12.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0
19,2024-12-20 11:20:00.625155,97377.37,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,91.0,90.0,85.0,79.0,72.0,64.0,53.0,43.0,33.0,24.0,16.0,10.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
20,2024-12-20 11:21:00.812785,97327.5,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,90.0,90.0,85.0,77.0,70.0,62.0,52.0,42.0,32.0,22.0,15.0,9.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
21,2024-12-20 11:22:00.048682,97459.86,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,92.0,90.0,85.0,81.0,75.0,67.0,58.0,46.0,36.0,26.0,18.0,11.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
22,2024-12-20 11:23:00.091461,97544.29,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,92.0,90.0,88.0,83.0,78.0,71.0,62.0,50.0,39.0,29.0,20.0,13.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0
23,2024-12-20 11:24:00.466741,97526.22,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,91.0,88.0,84.0,78.0,71.0,62.0,50.0,39.0,28.0,20.0,13.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0
24,2024-12-20 11:25:00.880038,97567.45,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,91.0,93.0,84.0,79.0,72.0,63.0,52.0,41.0,29.0,20.0,13.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0
25,2024-12-20 11:26:00.208349,97608.29,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,93.0,92.0,93.0,85.0,80.0,73.0,64.0,42.0,41.0,30.0,21.0,13.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0
